"03 ,Attempts/threats to murder, assaults, harassments and related offences","Donnybrook, D.M.R. South Central Division",71,45,41,41,45,58,27
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Douglas, Cork City Division",50,47,37,33,56,61,18
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dowra, Cavan/Monaghan Division",0,1,1,0,2,0,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drimoleague, Cork West Division",4,2,6,6,3,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drinagh, Cork West Division",1,3,4,0,0,1,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drogheda, Louth Division",166,156,174,163,227,201,100
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumad, Louth Division",7,10,9,9,7,6,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumcollogher, Limerick Division",4,7,8,8,3,8,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumlish, Roscommon/Longford Division",7,6,10,6,13,13,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumshambo, Sligo/Leitrim Division",14,6,13,12,10,9,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dublin Airport, D.M.R. Northern Division",5,10,10,9,10,9,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Duleek, Meath Division",14,15,15,11,11,22,9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dun Fionnachaid, Donegal Division",9,6,5,5,3,8,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dun Laoghaire, D.M.R. Eastern Division",138,115,130,88,102,146,59
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunboyne, Meath Division",41,31,56,46,39,36,13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Duncannon, Wexford Division",12,11,10,11,3,6,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dundalk, Louth Division",221,196,205,180,176,205,92
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dundrum, D.M.R. Eastern Division",86,113,100,104,82,134,72
